City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Takhtamygda,RU,2021-09-22 18:20:44,54.1,123.5667,42.96,87,76,3.65
282,Konstantinovka,RU,2021-09-22 18:20:44,49.6167,127.9833,46.94,86,95,6.46
283,Stepnogorsk,KZ,2021-09-22 18:20:45,52.3544,71.8869,44.55,62,99,5.91
284,Aksu,CN,2021-09-22 18:20:45,41.1231,80.2644,70.47,28,15,8.7
285,Olafsvik,IS,2021-09-22 18:20:46,64.8945,-23.7142,42.3,66,47,8.88
286,Poum,NC,2021-09-22 18:20:47,-20.2333,164.0167,70.32,69,100,21.83
287,Veracruz,MX,2021-09-22 18:20:47,19.3333,-96.6667,83.88,70,78,6.4
288,Nome,US,2021-09-22 18:20:48,64.5011,-165.4064,28.47,86,40,3.44
289,Cozumel,MX,2021-09-22 18:20:48,20.5083,-86.9458,89.01,76,75,5.01
290,Nizwa,OM,2021-09-22 18:20:49,22.9333,57.5333,92.59,30,84,2.01
291,Asfi,MA,2021-09-22 18:20:09,32.2994,-9.2372,71.51,86,56,10.09
292,Vilyuysk,RU,2021-09-22 18:20:49,63.7553,121.6247,40.42,93,100,11.32
